player,tm,zone,stat,value,shots,percent,FGA
Bria Hartley,PHO,left,FGM,0,made,0,0
Bria Holmes,CON,left,FGM,0,made,0,0
Briann January,CON,left,FGM,0,made,0,0
Brianna Turner,PHO,left,FGM,0,made,0,0
Bridget Carleton,MIN,left,FGM,3,made,60,5
Brionna Jones,CON,left,FGM,0,made,0,0
Brittany Brewer,ATL,left,FGM,NA,made,NA,NA
Brittney Griner,PHO,left,FGM,0,made,0,0
Brittney Sykes,LAS,left,FGM,3,made,50,6
Candace Parker,LAS,left,FGM,2,made,66.7,3
Candice Dupree,IND,left,FGM,0,made,0,0
Carolyn Swords,LVA,left,FGM,0,made,0,0
Chelsea Gray,LAS,left,FGM,0,made,0,0
Chennedy Carter,ATL,left,FGM,0,made,0,1
Cheyenne Parker,CHI,left,FGM,0,made,0,1
Cierra Burdick,LVA,left,FGM,0,made,0,0
Courtney Vandersloot,CHI,left,FGM,1,made,50,2
Courtney Williams,ATL,left,FGM,0,made,0,3
Crystal Dangerfield,MIN,left,FGM,0,made,0,2
Crystal Langhorne,SEA,left,FGM,0,made,0,0
Damiris Dantas,MIN,left,FGM,1,made,50,2
Danielle Robinson,LVA,left,FGM,0,made,0,1
Dewanna Bonner,CON,left,FGM,1,made,33.3,3
Dearica Hamby,LVA,left,FGM,2,made,66.7,3
Diamond Deshields,CHI,left,FGM,1,made,50,2
Diana Taurasi,PHO,left,FGM,0,made,0,1
Elizabeth Williams,ATL,left,FGM,0,made,0,0
Emma Cannon,LVA,left,FGM,NA,made,NA,NA
Emma Meesseman,WAS,left,FGM,0,made,0,2
Epiphanny Prince,SEA,left,FGM,0,made,0,0
Erica Mccall,MIN,left,FGM,0,made,0,0
Essence Carson,CON,left,FGM,1,made,50,2
Ezi Magbegor,SEA,left,FGM,0,made,0,0
Gabby Williams,CHI,left,FGM,1,made,33.3,3
Glory Johnson,ATL,left,FGM,0,made,0,0
Isabelle Harrison,DAL,left,FGM,0,made,0,0
Jacki Gemelos,WAS,left,FGM,2,made,50,4
Jackie Young,LVA,left,FGM,0,made,0,0
Jasmine Thomas,CON,left,FGM,2,made,33.3,6
Jaylyn Agnew,ATL,left,FGM,1,made,100,1
Jazmine Jones,NYL,left,FGM,1,made,100,1
Jewell Loyd,SEA,left,FGM,8,made,61.5,13
Jocelyn Willoughby,NYL,left,FGM,0,made,0,1
Jordin Canada,SEA,left,FGM,0,made,0,0
Joyner Holmes,NYL,left,FGM,0,made,0,1
Julie Allemand,IND,left,FGM,1,made,100,1
Kaela Davis,ATL,left,FGM,NA,made,NA,NA
Kahleah Copper,CHI,left,FGM,1,made,50,2
Kaila Charles,CON,left,FGM,0,made,0,0
Kalani Brown,ATL,left,FGM,0,made,0,0
Kaleena Mosqueda-Lewis,CON,left,FGM,1,made,33.3,3
Kamiah Smalls,IND,left,FGM,1,made,33.3,3
Karima Christmas-Kelly,MIN,left,FGM,0,made,0,0
Kathleen Doyle,IND,left,FGM,0,made,0,1
Katie Lou Samuelson,DAL,left,FGM,0,made,0,2
Kayla Alexander,MIN,left,FGM,0,made,0,0
Kayla Mcbride,LVA,left,FGM,0,made,0,3
Kayla Thornton,DAL,left,FGM,0,made,0,1
Kelsey Mitchell,IND,left,FGM,0,made,0,2
Kennedy Burke,IND,left,FGM,2,made,100,2
Kia Nurse,NYL,left,FGM,1,made,33.3,3
Kia Vaughn,PHO,left,FGM,0,made,0,0
Kiah Stokes,NYL,left,FGM,0,made,0,6
Kiara Leslie,WAS,left,FGM,2,made,50,4
Kristine Anigwe,LAS,left,FGM,0,made,0,0
Kylee Shook,NYL,left,FGM,0,made,0,1
Lauren Cox,IND,left,FGM,0,made,0,0
Layshia Clarendon,NYL,left,FGM,0,made,0,0
Leaonna Odom,NYL,left,FGM,2,made,66.7,3
Leilani Mitchell,WAS,left,FGM,1,made,33.3,3
Lexie Brown,MIN,left,FGM,0,made,0,3
Lindsay Allen,LVA,left,FGM,1,made,100,1
Marie G‹Lich,LAS,left,FGM,0,made,0,0
Marina Mabrey,DAL,left,FGM,2,made,66.7,3
